subset,repo,group,release,file_id,path_rel,loc_total,block_count,blocks_per_file,blocks_per_kloc
core,ipython,old_2000s,0.10.1,44949e1157d8b98ba112d98bc681b14c6c048254,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/jobctrl.py,242,4,4.0,16.528925619834713
core,ipython,old_2000s,0.10.1,7d33dc83e00c31c998889e94efb9143bcea4b441,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ledit.py,98,1,1.0,10.204081632653061
core,ipython,old_2000s,0.10.1,99d7689a369fe908fe2763a03cdf250ad9b91ec2,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/numeric_formats.py,43,7,7.0,162.79069767441862
core,ipython,old_2000s,0.10.1,b0476b341344bfec24cf9870f78e9f5f840a2eac,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/pickleshare.py,357,13,13.0,36.41456582633053
core,ipython,old_2000s,0.10.1,d8f73ba06310dda38a2057605e01e4d594d52aae,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/pspersistence.py,182,13,13.0,71.42857142857143
core,ipython,old_2000s,0.10.1,b1c55d690edc118eeb2131aef77c20c699a4ee59,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/scitedirector.py,26,0,0.0,0.0
core,ipython,old_2000s,0.10.1,662b62f822b7953be06d92302767d7c06aa16cbb,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/win32clip.py,45,0,0.0,0.0
core,nose,old_2000s,0.11.1,9c8763de8350a9f85c578724d7a6418d06985845,selftest.py,43,5,5.0,116.27906976744187
core,nose,old_2000s,0.11.1,685f85af6c160bb2a22ddcaa2979de0f81c486bf,setup.py,76,0,0.0,0.0
core,nose,old_2000s,0.11.1,d20f3c736ca1fa2ed7fedc9a5d45f3cc2fc96b1d,scripts/mkindex.py,79,3,3.0,37.974683544303794
